Price on site,Sale/Rent,Rent type,Min price,Max price,Zip code,Site
$8.96 SF/YR,Rent,SF rent,8.96,8.96,24018,LoopNet
$38.50 SF/YR,Rent,SF rent,38.5,38.5,20008,LoopNet
$10.57 SF/YR,Rent,SF rent,10.57,10.57,24018,LoopNet
$9.95 - $12.95 SF/YR,Rent,SF rent,9.95,12.95,49684,LoopNet
"$1,795+ /month",Rent,Monthly,1795,,90038,Realtor
"$2,150+ /month",Rent,Monthly,2150,,90038,Realtor
"$2,300+ /month",Rent,Monthly,2300,,90038,Realtor
$15.00 SF/YR,Rent,SF rent,15,15,92236,LoopNet
"$3,995 /month",Rent,Monthly,3995,3995,90038,Realtor
$83.88 SF/YR,Rent,SF rent,83.88,83.88,93950,LoopNet
$39.00 - $59.40 SF/YR,Rent,SF rent,39,59.4,90503,LoopNet
"$2,350 /month",Rent,Monthly,2350,2350,90038,Realtor
$16.00 - $20.00 SF/YR,Rent,SF rent,16,20,50023,LoopNet
"$2,800 /month",Rent,Monthly,2800,2800,90038,Realtor
"$4,295 /month",Rent,Monthly,4295,4295,90038,Realtor
"$2,550 /month",Rent,Monthly,2550,2550,90038,Realtor
"$3,150 /month",Rent,Monthly,3150,3150,90038,Realtor
$18.60 SF/YR,Rent,SF rent,18.6,18.6,90503,LoopNet
$15.50 /SF/YR,Rent,SF rent,15.5,15.5,65806,LoopNet
$40.00 SF/YR,Rent,SF rent,40,40,20008,LoopNet
"$1,725+ /month",Rent,Monthly,1725,,90038,Realtor
"$1,895 /month",Rent,Monthly,1895,1895,90038,Realtor
$17.16 - $18.06 SF/YR,Rent,SF rent,17.16,18.06,40505,LoopNet
"$2,827 /month",Rent,Monthly,2827,2827,90038,Realtor
"$2,700 /month",Rent,Monthly,2700,2700,90038,Realtor
"$3,995 /month",Rent,Monthly,3995,3995,90038,Realtor
"$2,350 /month",Rent,Monthly,2350,2350,90038,Realtor
$18.57 - $18.75 SF/YR,Rent,SF rent,18.57,18.75,23220,LoopNet
$55.00 SF/YR,Rent,SF rent,55,55,20008,LoopNet
$13.50 SF/YR,Rent,SF rent,13.5,13.5,24018,LoopNet
$24.00 SF/YR,Rent,SF rent,24,24,92236,LoopNet
,Rent,SF rent,0,0,65109,LoopNet
"$6,750 /month",Rent,Monthly,6750,6750,90038,Realtor
$14.00 SF/YR,Rent,SF rent,14,14,24018,LoopNet
$12.50 - $14.50 SF/YR,Rent,SF rent,12.5,14.5,24018,LoopNet
"$1,695+ /month",Rent,Monthly,1695,,90038,Realtor
$35.00 SF/YR,Rent,SF rent,35,35,20008,LoopNet
$13.95 SF/YR,Rent,SF rent,13.95,13.95,24018,LoopNet
$36.00 SF/YR,Rent,SF rent,36,36,92236,LoopNet
"$2,850 /month",Rent,Monthly,2850,2850,90038,Realtor
"$2,300+ /month",Rent,Monthly,2300,,90038,Realtor
$15.50 - $20.00 SF/YR,Rent,SF rent,15.5,20,50023,LoopNet
$17.00 SF/YR,Rent,SF rent,17,17,23220,LoopNet
"$4,850 /month",Rent,Monthly,4850,4850,90038,Realtor
"$2,495 /month",Rent,Monthly,2495,2495,90038,Realtor
$18.00 - $20.00 SF/YR,Rent,SF rent,18,20,50023,LoopNet
$16.50 - $18.00 SF/YR,Rent,SF rent,16.5,18,24018,LoopNet
$25.00 SF/YR,Rent,SF rent,25,25,23220,LoopNet
"$1,055 - $1,701/mo",Rent,Monthly,1055,1701,84121,Trulia
$30.00 - $45.00 SF/YR,Rent,SF rent,30,45,90503,LoopNet
"$2,485+ /month",Rent,Monthly,2485,,90038,Realtor
"$5,400 /month",Rent,Monthly,5400,5400,90038,Realtor
$15.40 - $16.00 SF/YR,Rent,SF rent,15.4,16,24018,LoopNet
"$2,550 /month",Rent,Monthly,2550,2550,90038,Realtor
$7.20 SF/YR,Rent,SF rent,7.2,7.2,24018,LoopNet
"$1,645+ /month",Rent,Monthly,1645,,90038,Realtor
$15.60 - $16.20 SF/YR,Rent,SF rent,15.6,16.2,92236,LoopNet
"$1,495+ /month",Rent,Monthly,1495,,90038,Realtor
"$16,000 /month",Rent,Monthly,16000,16000,90038,Realtor
$17.04 SF/YR,Rent,SF rent,17.04,17.04,93950,LoopNet
$10.00 SF/YR,Rent,SF rent,10,10,24018,LoopNet
$16.70 SF/YR,Rent,SF rent,16.7,16.7,23220,LoopNet
"$2,160/mo",Rent,Monthly,2160,2160,84121,Trulia
$10.17 SF/YR,Rent,SF rent,10.17,10.17,23220,LoopNet
$24.00 SF/YR,Rent,SF rent,24,24,23220,LoopNet
"$2,995+ /month",Rent,Monthly,2995,,90038,Realtor
,Rent,SF rent,0,0,24018,LoopNet
$15.50 SF/YR,Rent,SF rent,15.5,15.5,50023,LoopNet
"$2,530 /month",Rent,Monthly,2530,2530,90038,Realtor
"$1,775+ /month",Rent,Monthly,1775,,90038,Realtor
"$3,500 /month",Rent,Monthly,3500,3500,90038,Realtor
"$1,500/mo",Rent,Monthly,1500,1500,55802,
"$1,725 /month",Rent,Monthly,1725,1725,90038,Realtor
$6.78 SF/YR,Rent,SF rent,6.78,6.78,40505,LoopNet
$13.00 SF/YR,Rent,SF rent,13,13,50023,LoopNet
,Rent,SF rent,0,0,40505,LoopNet
$18.50 SF/YR,Rent,SF rent,18.5,18.5,24018,LoopNet
"$7,450 /month",Rent,Monthly,7450,7450,90038,Realtor
"$4,500 /month",Rent,Monthly,4500,4500,90038,Realtor
"$4,550 /month",Rent,Monthly,4550,4550,90038,Realtor
"$3,850 /month",Rent,Monthly,3850,3850,90038,Realtor
"$6,650 /month",Rent,Monthly,6650,6650,90038,Realtor
$5.00 - $8.00 SF/YR,Rent,SF rent,5,8,40391,LoopNet
"$1,200/mo",Rent,Monthly,1200,1200,84121,Trulia
"$2,875 /month",Rent,Monthly,2875,2875,90038,Realtor
$20.00 - $50.00 SF/YR,Rent,SF rent,20,50,7306,LoopNet
"$2,400 /month",Rent,Monthly,2400,2400,90038,Realtor
"$18,500 /month",Rent,Monthly,18500,18500,90038,Realtor
"$3,695 /month",Rent,Monthly,3695,3695,90038,Realtor
$8.00 SF/YR,Rent,SF rent,8,8,50023,LoopNet
"$2,850 /month",Rent,Monthly,2850,2850,90038,Realtor
,Rent,SF rent,0,0,40391,LoopNet
$12.00 SF/YR,Rent,SF rent,12,12,24018,LoopNet
$13.00 SF/YR,Rent,SF rent,13,13,50023,LoopNet
"$3,995 /month",Rent,Monthly,3995,3995,90038,Realtor
"$2,195+ /month",Rent,Monthly,2195,,90038,Realtor
$14.75 SF/YR,Rent,SF rent,14.75,14.75,24018,LoopNet
$9.53 - $16.49 SF/YR,Rent,SF rent,9.53,16.49,24018,LoopNet
"$1,395+ /month",Rent,Monthly,1395,,90038,Realtor
"$7,200 /month",Rent,Monthly,7200,7200,90038,Realtor
$18.00 - $20.00 SF/YR,Rent,SF rent,18,20,50023,LoopNet
"$3,595 /month",Rent,Monthly,3595,3595,90038,Realtor
$11.40 SF/YR,Rent,SF rent,11.4,11.4,92236,LoopNet
"$3,295+ /month",Rent,Monthly,3295,,90038,Realtor
"$1,200/mo",Rent,Monthly,1200,1200,84121,Trulia
"$968 - $3,079/mo",Rent,Monthly,968,3079,84121,Trulia
$16.00 SF/YR,Rent,SF rent,16,16,24018,LoopNet
"$1,320+ /month",Rent,Monthly,1320,,90038,Realtor
$20.73 SF/YR,Rent,SF rent,20.73,20.73,23220,LoopNet
$15.00 SF/YR,Rent,SF rent,15,15,50023,LoopNet
"$3,995+ /month",Rent,Monthly,3995,,90038,Realtor
$41.14 SF/YR,Rent,SF rent,41.14,41.14,7306,LoopNet
$10.75 SF/YR,Rent,SF rent,10.75,10.75,65806,LoopNet
$18.00 SF/YR,Rent,SF rent,18,18,49783,LoopNet
$25.80 SF/YR,Rent,SF rent,25.8,25.8,90503,LoopNet
$61.92 SF/YR,Rent,SF rent,61.92,61.92,94115,LoopNet
$15.50 - $16.50 SF/YR,Rent,SF rent,15.5,16.5,24018,LoopNet
"$2,195+ /month",Rent,Monthly,2195,,90038,Realtor
$19.00 SF/YR,Rent,SF rent,19,19,40391,LoopNet
$12.00 SF/YR,Rent,SF rent,12,12,92236,LoopNet
$43.00 SF/YR,Rent,SF rent,43,43,20008,LoopNet
"$1,650+ /month",Rent,Monthly,1650,,90038,Realtor
$15.50 - $22.00 SF/YR,Rent,SF rent,15.5,22,50023,LoopNet
$13.00 SF/YR,Rent,SF rent,13,13,87110,LoopNet
$18.50 SF/YR,Rent,SF rent,18.5,18.5,24018,LoopNet
$21.00 SF/YR,Rent,SF rent,21,21,50023,LoopNet
"$2,492 /month",Rent,Monthly,2492,2492,90038,Realtor
"$999 - $1,289/mo",Rent,Monthly,999,1289,84121,Trulia
"$1,325+ /month",Rent,Monthly,1325,,90038,Realtor
"$2,850 /month",Rent,Monthly,2850,2850,90038,Realtor
"$1,695+ /month",Rent,Monthly,1695,,90038,Realtor
$35.00 SF/YR,Rent,SF rent,35,35,94805,LoopNet
$5.50 SF/YR,Rent,SF rent,5.5,5.5,50023,LoopNet
$14.50 SF/YR,Rent,SF rent,14.5,14.5,24018,LoopNet
$12.25 SF/YR,Rent,SF rent,12.25,12.25,50023,LoopNet
$1.16 SF/YR,Rent,SF rent,1.16,1.16,50023,LoopNet
"$1,575 /month",Rent,Monthly,1575,1575,90038,Realtor
$12.00 - $30.00 SF/YR,Rent,SF rent,12,30,94805,LoopNet
$46.00 SF/YR,Rent,SF rent,46,46,20008,LoopNet
"$2,400 /month",Rent,Monthly,2400,2400,90038,Realtor
$17.50 SF/YR,Rent,SF rent,17.5,17.5,50023,LoopNet
$40.00 - $176.87 SF/YR,Rent,SF rent,40,176.87,20009,LoopNet
$8.00 SF/YR,Rent,SF rent,8,8,40391,LoopNet
$6.00 SF/YR,Rent,SF rent,6,6,40505,LoopNet
$78.00 SF/YR,Rent,SF rent,78,78,94022,LoopNet
$12.00 - $17.00 SF/YR,Rent,SF rent,12,17,40391,LoopNet
"$1,845 /month",Rent,Monthly,1845,1845,90038,Realtor
$14.00 SF/YR,Rent,SF rent,14,14,24018,LoopNet
"$4,395 /month",Rent,Monthly,4395,4395,90038,Realtor
$10.75 SF/YR,Rent,SF rent,10.75,10.75,24018,LoopNet
"$1,300/mo",Rent,Monthly,1300,1300,84121,Trulia
$3.50 SF/YR,Rent,SF rent,3.5,3.5,40391,LoopNet
$13.00 - $22.00 SF/YR,Rent,SF rent,13,22,83301,LoopNet
$16.50 SF/YR,Rent,SF rent,16.5,16.5,23220,LoopNet
"$3,200/mo",Rent,Monthly,3200,3200,84121,Trulia
$17.50 SF/YR,Rent,SF rent,17.5,17.5,50023,LoopNet
"$2,350 /month",Rent,Monthly,2350,2350,90038,Realtor
"$1,196+ /month",Rent,Monthly,1196,,90038,Realtor
$16.50 SF/YR,Rent,SF rent,16.5,16.5,23220,LoopNet
$15.00 - $17.00 SF/YR,Rent,SF rent,15,17,24018,LoopNet
$18.00 SF/YR,Rent,SF rent,18,18,50023,LoopNet
$990/mo,Rent,Monthly,990,990,84121,Trulia
$16.94 SF/YR,Rent,SF rent,16.94,16.94,87110,LoopNet
"$1,149 - $2,997/mo",Rent,Monthly,1149,2997,84121,Trulia
"$1,745/mo",Rent,Monthly,1745,1745,84121,Trulia
$88.97 SF/YR,Rent,SF rent,88.97,88.97,94022,LoopNet
"$4,000 /month",Rent,Monthly,4000,4000,90038,Realtor
$485/mo,Rent,Monthly,485,485,84121,Trulia
$18.00 - $20.00 SF/YR,Rent,SF rent,18,20,65806,LoopNet
"$2,700 /month",Rent,Monthly,2700,2700,90038,Realtor
$18.00 SF/YR,Rent,SF rent,18,18,23220,LoopNet
$15.40 SF/YR,Rent,SF rent,15.4,15.4,24018,LoopNet
"$2,000/mo",Rent,Monthly,2000,2000,55802,Trulia
$8.52 SF/YR,Rent,SF rent,8.52,8.52,92236,LoopNet
$22.20 SF/YR,Rent,SF rent,22.2,22.2,93953,LoopNet
"$3,995 /month",Rent,Monthly,3995,3995,90038,Realtor
,Rent,SF rent,0,0,83301,LoopNet
"$1,395 /month",Rent,Monthly,1395,1395,90038,Realtor
$7.50 SF/YR,Rent,SF rent,7.5,7.5,50023,LoopNet
$15.00 SF/YR,Rent,SF rent,15,15,50023,LoopNet
$47.40 SF/YR,Rent,SF rent,47.4,47.4,94022,LoopNet
"$2,675 /month",Rent,Monthly,2675,2675,90038,Realtor
$5.95 - $12.50 SF/YR,Rent,SF rent,5.95,12.5,40505,LoopNet
"$1,675 /month",Rent,Monthly,1675,1675,90038,Realtor
$17.50 SF/YR,Rent,SF rent,17.5,17.5,50023,LoopNet
$14.50 SF/YR,Rent,SF rent,14.5,14.5,50023,LoopNet
$30.00 SF/YR,Rent,SF rent,30,30,20008,LoopNet
"$2,195 /month",Rent,Monthly,2195,2195,90038,Realtor
$15.96 SF/YR,Rent,SF rent,15.96,15.96,94805,LoopNet
"$6,750 /month",Rent,Monthly,6750,6750,90038,Realtor
"$1,250/mo",Rent,Monthly,1250,1250,84121,Trulia
$7.00 - $27.78 SF/YR,Rent,SF rent,7,27.78,65806,LoopNet
$20.00 SF/YR,Rent,SF rent,20,20,23220,LoopNet
